Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110095012,RAPPIDX SURFACE,Ignis Traders,RPDX0012760,14/09/2021,14/09/2021,14/09/2021,COD,RTO,Mumbai_MaladIndstrEst_D (Maharashtra),Delivered,4,4,C2,649,649,Mumbai,Maharashtra,400095,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,01/10/2021,20/09/2021,21/09/2021,20/09/2021,20/09/2021,01/10/2021,14/09/2021,01/10/2021
8445110054305,RAPPIDX SURFACE,Ignis Traders,RPDX008492,12/09/2021,13/09/2021,13/09/2021,COD,RTO,Doddaballapura_RangppCir_D (Karnataka),Delivered,3,3,C2,649,649,Doddaballapura,Karnataka,560064,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,05/10/2021,19/09/2021,18/09/2021,18/09/2021,18/09/2021,05/10/2021,12/09/2021,05/10/2021
8445110108684,RAPPIDX SURFACE,Renu Enterprises,RPDX0014901,20/09/2021,20/09/2021,20/09/2021,COD,RTO,Mumbai_Dombivli_D (Maharashtra),Delivered,1,1,D2,1698,1698,Greater Thane,Maharashtra,421201,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,TRUE,01/10/2021,24/09/2021,24/09/2021,25/09/2021,25/09/2021,01/10/2021,20/09/2021,01/10/2021
8445110056556,RAPPIDX SURFACE,Ignis Traders,RPDX008717,12/09/2021,13/09/2021,13/09/2021,COD,RTO,Karunagappally_Edakulangra_D (Kerala),Delivered,1,1,D2,649,649,Karunagappally,Kerala,690542,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,TRUE,05/10/2021,20/09/2021,20/09/2021,19/09/2021,19/09/2021,05/10/2021,12/09/2021,05/10/2021
8445110111860,RAPPIDX SURFACE,Renu Enterprises,RPDX0015276,21/09/2021,21/09/2021,21/09/2021,COD,RTO,Patna_West (Bihar),Delivered,1,1,D1,1698,1698,Patna,Bihar,800011,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,01/10/2021,25/09/2021,27/09/2021,25/09/2021,25/09/2021,01/10/2021,21/09/2021,01/10/2021
8445110111086,RAPPIDX SURFACE,Renu Enterprises,RPDX0015147,20/09/2021,20/09/2021,20/09/2021,COD,RTO,Bilaspur_Parsada_D (Chhattisgarh),Delivered,2,3,D1,1689,1689,Bilaspur,Chhattisgarh,495001,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,TRUE,01/10/2021,25/09/2021,25/09/2021,24/09/2021,24/09/2021,01/10/2021,20/09/2021,01/10/2021
8445110074222,RAPPIDX SURFACE,Ignis Traders,RPDX0010484,12/09/2021,13/09/2021,13/09/2021,COD,RTO,Kolkata_Elliotroad_D (West Bengal),Delivered,3,3,C2,649,649,Kolkata,West Bengal,700012,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,01/10/2021,17/09/2021,20/09/2021,16/09/2021,17/09/2021,01/10/2021,12/09/2021,01/10/2021
8445110060911,RAPPIDX SURFACE,Ignis Traders,RPDX009153,12/09/2021,13/09/2021,13/09/2021,COD,RTO,Imphal_Patsoi_D (Manipur),Delivered,1,1,F,649,649,Imphal,Manipur,795004,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,01/10/2021,22/09/2021,22/09/2021,21/09/2021,21/09/2021,01/10/2021,12/09/2021,01/10/2021
8445110110014,RAPPIDX SURFACE,Renu Enterprises,RPDX0015034,20/09/2021,20/09/2021,20/09/2021,COD,RTO,Roorkee_Dc (Uttarakhand),Delivered,3,3,B,1698,1698,Roorkee,Uttarakhand,247667,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,01/10/2021,23/09/2021,23/09/2021,23/09/2021,23/09/2021,01/10/2021,20/09/2021,01/10/2021
8445110094743,RAPPIDX SURFACE,Ignis Traders,RPDX0012733,14/09/2021,14/09/2021,14/09/2021,COD,RTO,DakshinBarasat_Baharu_DPP (West Bengal),Delivered,4,4,D2,649,649,Dakshin Barasat,West Bengal,743372,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,05/10/2021,19/09/2021,20/09/2021,18/09/2021,18/09/2021,05/10/2021,14/09/2021,05/10/2021
8445110070000,RAPPIDX SURFACE,Ignis Traders,RPDX0010062,12/09/2021,13/09/2021,13/09/2021,COD,RTO,Golaghat_BaruaRd_D (Assam),Delivered,1,1,E,649,649,Golaghat,Assam,785613,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,01/10/2021,20/09/2021,20/09/2021,18/09/2021,24/09/2021,01/10/2021,12/09/2021,01/10/2021
8445110134540,RAPPIDX SURFACE,Ignis Traders 2,RPDX0019755,27/09/2021,27/09/2021,27/09/2021,COD,RTO,Mathura_DC (Uttar Pradesh),Delivered,3,4,B,1399,1399,Mathura,Uttar Pradesh,281001,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,05/10/2021,29/09/2021,30/09/2021,29/09/2021,29/09/2021,05/10/2021,27/09/2021,05/10/2021
